Product_ID,Product_Name,Unit_Price,Category_ID,Category_Name,Department_ID,Department_Name,Status
19,Nike Men's Fingertrap Max Training Shoe,124.9899979,2,Soccer,2,Fitness,0
24,Elevation Training Mask 2.0,79.98999786,2,Soccer,2,Fitness,0
35,adidas Brazuca 2014 Official Match Ball,159.9900055,3,Baseball & Softball,2,Fitness,0
37,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,3,Baseball & Softball,2,Fitness,0
44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,3,Baseball & Softball,2,Fitness,0
58,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,4,Basketball,2,Fitness,0
60,SOLE E25 Elliptical,999.9899902,4,Basketball,2,Fitness,0
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902,4,Basketball,2,Fitness,0
78,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786,5,Lacrosse,2,Fitness,0
93,Under Armour Men's Tech II T-Shirt,24.98999977,5,Lacrosse,2,Fitness,0
116,Nike Men's Comfort 2 Slide,44.99000168,6,Tennis & Racquet,2,Fitness,0
127,Stiga Master Series ST3100 Competition Indoor,329.9899902,7,Hockey,2,Fitness,0
134,Nike Women's Legend V-Neck T-Shirt,25.0,7,Hockey,2,Fitness,0
135,Nike Dri-FIT Crew Sock 6 Pack,22.0,7,Hockey,2,Fitness,0
172,Nike Women's Tempo Shorts,30.0,9,Cardio Equipment,3,Footwear,0
191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9,Cardio Equipment,3,Footwear,0
203,GoPro HERO3+ Black Edition Camera,399.9899902,10,Strength Training,3,Footwear,0
208,SOLE E35 Elliptical,1999.98999,10,Strength Training,3,Footwear,0
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.0,10,Strength Training,3,Footwear,0
226,Bowflex SelectTech 1090 Dumbbells,599.9899902,11,Fitness Accessories,3,Footwear,0
235,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,11,Fitness Accessories,3,Footwear,0
249,Under Armour Women's Micro G Skulpt Running S,54.97000122,12,Boxing & MMA,3,Footwear,0
251,Brooks Women's Ghost 6 Running Shoe,89.98999786,12,Boxing & MMA,3,Footwear,0
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.98999786,12,Boxing & MMA,3,Footwear,0
273,Under Armour Kids' Mercenary Slide,27.98999977,13,Electronics,3,Footwear,0
276,Under Armour Women's Ignite Slide,31.98999977,13,Electronics,3,Footwear,0
278,Under Armour Men's Compression EV SL Slide,44.99000168,13,Electronics,3,Footwear,0
282,Under Armour Women's Ignite PIP VI Slide,31.98999977,13,Electronics,3,Footwear,0
295,Fitbit The One Wireless Activity & Sleep Trac,99.94999695,38,Kids' Golf Clubs,6,Outdoors,0
303,Garmin Forerunner 910XT GPS Watch,399.9899902,38,Kids' Golf Clubs,6,Outdoors,0
305,Mio ALPHA Heart Rate Monitor/Sport Watch,199.0,38,Kids' Golf Clubs,6,Outdoors,0
306,Polar FT4 Heart Rate Monitor,89.98999786,38,Kids' Golf Clubs,6,Outdoors,0
311,Polar Loop Activity Tracker,109.9499969,38,Kids' Golf Clubs,6,Outdoors,0
359,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786,16,As Seen on  TV!,3,Footwear,0
364,Total Gym 1400,299.9899902,17,Cleats,4,Apparel,0
365,Perfect Fitness Perfect Rip Deck,59.99000168,17,Cleats,4,Apparel,0
403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,18,Men's Footwear,4,Apparel,0
502,Nike Men's Dri-FIT Victory Golf Polo,50.0,24,Women's Apparel,5,Golf,0
